,Unnamed: 0,Provider,Provider Country,Developer Proceeds,Begin Date,End Date,Customer Currency,Country Code,Currency of Proceeds,Customer Price,Device,Supported Platforms
290,290,APPLE,US,0.0,12/1/2007,12/1/2007,USD,KH,USD,0.0,iPhone,iOS
291,291,APPLE,US,4.04,12/1/2007,12/1/2007,EUR,ES,EUR,6.99,iPhone,iOS
292,292,APPLE,US,4.9,12/1/2007,12/1/2007,USD,US,USD,6.99,iPhone,iOS
293,293,APPLE,US,349.42,12/1/2007,12/1/2007,RUB,RU,RUB,599.0,iPhone,iOS
294,294,APPLE,US,0.0,12/1/2007,12/1/2007,USD,UZ,USD,0.0,iPhone,iOS
295,295,APPLE,US,4.9,12/1/2007,12/1/2007,USD,JO,USD,6.99,iPhone,iOS
297,297,APPLE,US,9.91,12/1/2007,12/1/2007,BGN,BG,BGN,13.99,iPhone,iOS
298,298,APPLE,US,0.0,12/1/2007,12/1/2007,USD,GA,USD,0.0,iPhone,iOS
299,299,APPLE,US,4.9,12/1/2007,12/1/2007,USD,US,USD,6.99,iPhone,iOS
300,300,APPLE,US,73.04,12/1/2007,12/1/2007,ZAR,ZA,ZAR,119.99,iPhone,iOS
302,302,APPLE,US,6.29,12/1/2007,12/1/2007,CAD,CA,CAD,8.99,iPhone,iOS
303,303,APPLE,US,0.0,12/1/2007,12/1/2007,USD,AM,USD,0.0,iPhone,iOS
305,305,APPLE,US,0.0,12/1/2007,12/1/2007,USD,MW,USD,0.0,iPhone,iOS
306,306,APPLE,US,76.99,12/1/2007,12/1/2007,EGP,EG,EGP,109.99,iPhone,iOS
307,307,APPLE,US,0.0,12/1/2007,12/1/2007,CAD,CA,CAD,0.0,iPhone,iOS
308,308,APPLE,US,76.99,12/1/2007,12/1/2007,EGP,EG,EGP,109.99,iPhone,iOS
309,309,APPLE,US,0.0,12/1/2007,12/1/2007,SAR,SA,SAR,0.0,iPhone,iOS
310,310,APPLE,US,0.0,12/1/2007,12/1/2007,USD,LC,USD,0.0,iPhone,iOS
