,media_source,date,geo,cost,currency
492,source_1,2007-12-06,MK,1.0,USD
493,source_1,2007-12-07,EE,0.0,USD
494,source_8,2007-12-02,RO,0.0,USD
495,source_3,2007-12-06,GM,1.263828,USD
496,source_3,2007-12-05,UA,0.0,USD
497,source_1,2007-12-07,LV,0.3000000119,USD
498,source_1,2007-12-04,GI,0.0,USD
499,source_1,2007-12-05,PT,0.9000000358,USD
500,source_3,2007-12-03,OM,1.143606,USD
501,source_3,2007-12-01,CV,0.175087,USD
502,source_6,2007-12-03,PS,0.0,USD
503,source_2,2007-12-01,PR,12.2087219951,USD
504,source_3,2007-12-02,LU,2.171478,USD
505,source_7,2007-12-05,LT,0.0,USD
506,source_3,2007-12-02,EC,1.942176,USD
507,source_1,2007-12-06,SI,0.0,USD
508,source_6,2007-12-04,DE,0.0,USD
509,source_1,2007-12-05,TR,0.1800000072,USD
510,source_6,2007-12-04,NG,0.0,USD
511,source_1,2007-12-04,SB,0.0,USD
512,source_3,2007-12-03,VA,0.0,USD
513,source_2,2007-12-05,BZ,0.3812090018,USD
514,source_2,2007-12-04,GT,13.4105870181,USD
515,source_1,2007-12-05,AZ,0.6599999964,USD
516,source_1,2007-12-05,ZW,0.0,USD
517,source_3,2007-12-02,BT,0.717022,USD
518,source_3,2007-12-06,BE,2.85766,USD
519,source_3,2007-12-07,BA,1.814117,USD
520,source_2,2007-12-01,NO,0.0,USD
521,source_2,2007-12-01,AI,0.0382560002,USD
522,source_3,2007-12-04,GE,1.965298,USD
523,source_1,2007-12-04,VE,0.3400000036,USD
524,source_2,2007-12-07,BG,9.0798129564,USD
525,source_3,2007-12-03,NC,0.34224,USD
526,source_1,2007-12-01,MO,0.0,USD
527,source_3,2007-12-03,TV,0.04124,USD
528,source_11,2007-12-04,AU,0.0,USD
529,source_1,2007-12-07,IO,0.0,USD
530,source_1,2007-12-07,EU,0.0,USD
531,source_2,2007-12-05,PE,2.7835009988,USD
532,source_2,2007-12-07,MN,0.015613,USD
533,source_2,2007-12-04,NF,0.003232,USD
534,source_2,2007-12-03,GE,0.0,USD
535,source_5,2007-12-05,ME,0.0,USD
536,source_7,2007-12-01,TC,0.0,USD
537,source_3,2007-12-01,DZ,0.0,USD
538,source_1,2007-12-04,DO,3.1039999127,USD
539,source_6,2007-12-04,US,3.87,USD
540,source_3,2007-12-06,FJ,1.570784,USD
541,source_2,2007-12-06,WF,0.005244,USD
542,source_2,2007-12-03,KZ,0.0,USD
543,source_2,2007-12-03,CD,0.5918859984,USD
544,source_4,2007-12-07,CH,0.0,USD
545,source_7,2007-12-02,GU,0.0,USD
546,source_2,2007-12-01,CK,0.0230009999,USD
547,source_1,2007-12-02,MX,0.0,USD
548,source_2,2007-12-02,AX,0.0313579999,USD
549,source_1,2007-12-06,WS,0.0,USD
550,source_1,2007-12-05,TC,0.0,USD
551,source_2,2007-12-06,MK,0.5842640006,USD
552,source_1,2007-12-05,RW,0.1800000072,USD
553,source_2,2007-12-03,TZ,0.1837369998,USD
554,source_1,2007-12-06,CW,0.0,USD
555,source_3,2007-12-01,JM,0.342296,USD
556,source_1,2007-12-02,KN,0.0,USD
557,source_1,2007-12-05,HR,0.0,USD
558,source_2,2007-12-05,KR,2.1817739928,USD
559,source_2,2007-12-02,SG,0.067022,USD
560,source_6,2007-12-04,DO,0.0,USD
561,source_2,2007-12-03,IQ,0.0,USD
562,source_5,2007-12-05,ZA,0.0,USD
563,source_3,2007-12-07,PN,0.0,USD
564,source_2,2007-12-06,AR,6.3484899753,USD
565,source_3,2007-12-04,FO,0.454694,USD
566,source_3,2007-12-01,UY,0.650381,USD
567,source_3,2007-12-02,PW,0.166261,USD
568,source_3,2007-12-03,US,1209.933223,USD
569,source_1,2007-12-03,CL,0.0,USD
570,source_1,2007-12-06,GD,0.7440000176,USD
571,source_2,2007-12-02,AZ,1.4577120078,USD
572,source_2,2007-12-02,EE,0.1220369987,USD
573,source_3,2007-12-04,GH,0.0,USD
574,source_7,2007-12-04,IQ,0.0,USD
